abrt-addon-ccpp            	-rwsr-sr-x	abrt      	abrt      	/usr/libexec/abrt-action-install-debuginfo-to-abrt-cache
nagios-plugins-icmp        	-rwsr-x---	root      	nagios    	/usr/lib64/nagios/plugins/check_icmp
nagios-plugins-ide_smart   	-rwsr-x---	root      	nagios    	/usr/lib64/nagios/plugins/check_ide_smart
netatalk                   	-rwsr-xr-x	root      	root      	/usr/bin/afppasswd
nethack                    	-rwxr-sr-x	root      	games     	/usr/games/nethack-3.4.3/nethack
nethack-vultures           	-rwxr-sr-x	root      	vultures  	/usr/games/vulturesclaw/vulturesclaw
nethack-vultures           	-rwxr-sr-x	root      	vultures  	/usr/games/vultureseye/vultureseye
nfs-utils                  	-rwsr-xr-x	root      	root      	/sbin/mount.nfs
njam                       	-rwxr-sr-x	root      	games     	/usr/bin/njam
nspluginwrapper            	-rwsr-xr-x	root      	root      	/usr/lib64/nspluginwrapper/plugin-config
nspluginwrapper            	-rwsr-xr-x	root      	root      	/usr/lib/nspluginwrapper/plugin-config
openssh-clients            	---x--s--x	root      	nobody    	/usr/bin/ssh-agent
openssh                    	---x--s--x	root      	ssh_keys  	/usr/libexec/openssh/ssh-keysign
pachi                      	-rwxr-sr-x	root      	games     	/usr/bin/pachi
pam_ccreds                 	-rwsr-xr-x	root      	root      	/usr/sbin/ccreds_chkpwd
pam                        	-rwsr-xr-x	root      	root      	/usr/sbin/pam_timestamp_check
pam                        	-rwsr-xr-x	root      	root      	/usr/sbin/unix_chkpwd
passwd                     	-rwsr-xr-x	root      	root      	/usr/bin/passwd
perl-udunits               	drwxr-sr-x	root      	root      	/usr/lib64/perl5/vendor_perl/auto/UDUNITS
pmount                     	-rwsr-xr-x	root      	root      	/usr/bin/pmount
pmount                     	-rwsr-xr-x	root      	root      	/usr/bin/pumount
policycoreutils-sandbox    	-rwsr-xr-x	root      	root      	/usr/sbin/seunshare
polkit                     	-rwsr-xr-x	root      	root      	/usr/bin/pkexec
polkit                     	-rwsr-xr-x	root      	root      	/usr/lib/polkit-1/polkit-agent-helper-1
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/dbs
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ach
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/af
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ak
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/am
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ar
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ast
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/az
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/be
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/bg
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/bn
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/bn_IN
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/bo
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/br
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ca
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ca@valencia
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/cgg
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/cs
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/da
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/de
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/dz
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/el
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/en
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/en_GB
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/en_ZA
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/eo
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/es
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/et
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/eu
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/fa
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ff
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/fi
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/fo
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/fr
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/fur
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ga
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/gl
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ha
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/he
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/hi
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/hr
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ht
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/hu
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/hy
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/id
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/is
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/it
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ja
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ka
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/kg
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/km
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/kn
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ko
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ku
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ky
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/lg
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ln
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/lt
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/lv
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/mg
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ml
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/mn
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/mr
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ms
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/mt
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/my
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/nap
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/nb
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ne
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/nl
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/nn
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/nso
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/pa
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/pap
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/pl
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ps
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/pt
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/pt_BR
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ro
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/ru
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/sc
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/sk
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/sl
pootle                     	drwxrws---	apache    	apache    	/var/lib/pootle/po/pootle/son
